dataset,accuracy_breiman,accuracy_ancestor,accuracy_zhu
FaceFour,0.9310344827586207,0.9425287356321839,0.9425287356321839
FacesUCR,0.8814055636896047,0.8809175207418253,0.8784773060029283
FacesUCR,0.8818936066373841,0.879453391898487,0.8784773060029283
FacesUCR,0.8818936066373841,0.8765251342118107,0.8755490483162518
FacesUCR,0.8765251342118107,0.8789653489507077,0.8809175207418253
FacesUCR,0.8784773060029283,0.8818936066373841,0.8818936066373841
FacesUCR,0.8804294777940459,0.8823816495851635,0.8814055636896047
FacesUCR,0.8789653489507077,0.8809175207418253,0.879453391898487
FacesUCR,0.8775012201073694,0.8775012201073694,0.8735968765251342
FacesUCR,0.8853099072718399,0.8843338213762811,0.8818936066373841
FacesUCR,0.8765251342118107,0.8750610053684724,0.874572962420693
FiftyWords,0.7312775330396476,0.7004405286343612,0.6960352422907489
FiftyWords,0.7312775330396476,0.711453744493392,0.7224669603524229
FiftyWords,0.724669603524229,0.7048458149779736,0.7092511013215859
FiftyWords,0.7334801762114538,0.7092511013215859,0.7092511013215859
FiftyWords,0.7444933920704846,0.7158590308370044,0.7290748898678414
FiftyWords,0.7268722466960352,0.7004405286343612,0.7004405286343612
FiftyWords,0.7224669603524229,0.7048458149779736,0.6960352422907489
FiftyWords,0.73568281938326,0.7004405286343612,0.7004405286343612
FiftyWords,0.7334801762114538,0.6960352422907489,0.7048458149779736
FiftyWords,0.7268722466960352,0.7026431718061674,0.711453744493392
Fish,0.7988505747126436,0.8160919540229885,0.8103448275862069
Fish,0.7931034482758621,0.8045977011494253,0.8103448275862069
Fish,0.7931034482758621,0.7988505747126436,0.7931034482758621
Fish,0.7931034482758621,0.7931034482758621,0.7988505747126436
Fish,0.8103448275862069,0.8045977011494253,0.8160919540229885
Fish,0.8103448275862069,0.8218390804597702,0.8160919540229885
Fish,0.7988505747126436,0.8103448275862069,0.8103448275862069
Fish,0.7988505747126436,0.7988505747126436,0.7988505747126436
Fish,0.8045977011494253,0.8160919540229885,0.8160919540229885
Fish,0.8045977011494253,0.8045977011494253,0.8103448275862069
FordA,0.7702805155420773,0.7482941622441244,0.7642153146322972
FordA,0.7695223654283548,0.731614859742229,0.7513267626990144
FordA,0.775587566338135,0.7263078089461713,0.7528430629264594
FordA,0.7695223654283548,0.7376800606520091,0.7490523123578469
FordA,0.7642153146322972,0.7263078089461713,0.7361637604245641
FordA,0.7672479150871873,0.7293404094010614,0.7505686125852918
FordA,0.775587566338135,0.7354056103108415,0.7445034116755117
FordA,0.7657316148597423,0.7369219105382866,0.7626990144048522
FordA,0.7816527672479151,0.7338893100833965,0.7581501137225171
FordA,0.7831690674753601,0.7422289613343442,0.7505686125852918
FordB,0.657601977750309,0.6489493201483313,0.6551297898640297
FordB,0.6551297898640297,0.6514215080346106,0.6477132262051916
FordB,0.6452410383189122,0.6452410383189122,0.6551297898640297
FordB,0.6477132262051916,0.6440049443757726,0.646477132262052
FordB,0.6501854140914709,0.6378244746600742,0.65389369592089
FordB,0.6378244746600742,0.6563658838071693,0.6427688504326329
FordB,0.6378244746600742,0.6440049443757726,0.65389369592089
FordB,0.6390605686032138,0.6353522867737948,0.6365883807169345
FordB,0.6625463535228677,0.6217552533992583,0.6353522867737948
FordB,0.6711990111248455,0.6365883807169345,0.6390605686032138
FreezerRegularTrain,0.9915759915759915,0.9901719901719902,0.9901719901719902
FreezerRegularTrain,0.9926289926289926,0.9901719901719902,0.9905229905229905
FreezerRegularTrain,0.9901719901719902,0.9887679887679888,0.9891189891189891
FreezerRegularTrain,0.9915759915759915,0.9905229905229905,0.9898209898209899
FreezerRegularTrain,0.9915759915759915,0.9891189891189891,0.9898209898209899
FreezerRegularTrain,0.9922779922779923,0.9908739908739909,0.9908739908739909
FreezerRegularTrain,0.9936819936819937,0.991926991926992,0.9912249912249912
FreezerRegularTrain,0.9933309933309933,0.9922779922779923,0.9915759915759915
FreezerRegularTrain,0.9922779922779923,0.9901719901719902,0.9905229905229905
FreezerRegularTrain,0.991926991926992,0.9912249912249912,0.9908739908739909
FreezerSmallTrain,0.9126009126009126,0.8876798876798877,0.8515268515268515
